Date,Close,Open,High,Low,Change %
2017-08-22,64.073,64.095,64.15,64.05,-0.06%
2017-08-21,64.11,64.075,64.157,64.015,0.02%
2017-08-18,64.095,64.185,64.185,64.082,-0.12%
2017-08-17,64.17,64.17,64.17,64.17,0.00%
2017-08-16,64.17,64.275,64.328,64.14,0.08%
2017-08-15,64.12,64.11,64.12,64.11,0.05%
2017-08-14,64.09,63.985,64.147,63.935,-0.08%
2017-08-11,64.14,64.23,64.27,64.1,0.07%
2017-08-10,64.095,63.955,64.115,63.885,0.37%
2017-08-09,63.86,63.785,63.86,63.715,0.26%
2017-08-08,63.692,63.755,63.785,63.62,-0.23%
